"measure","value"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150101/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.29"
"Lifted index","-2.38"
"LIFT computed using virtual temperature","-2.69"
"SWEAT index","211.60"
"K index","35.60"
"Cross totals index","20.60"
"Vertical totals index","24.70"
"Totals totals index","45.30"
"Convective Available Potential Energy","170.15"
"CAPE using virtual temperature","239.39"
"Convective Inhibition","-83.47"
"CINS using virtual temperature","-64.81"
"Equilibrum Level","262.61"
"Equilibrum Level using virtual temperature","262.21"
"Level of Free Convection","772.54"
"LFCT using virtual temperature","797.70"
"Bulk Richardson Number","6.15"
"Bulk Richardson Number using CAPV","8.66"
"Temp [K] of the Lifted Condensation Level","294.08"
"Pres [hPa] of the Lifted Condensation Level","947.27"
"Mean mixed layer potential temperature","298.68"
"Mean mixed layer mixing ratio","16.77"
"1000 hPa to 500 hPa thickness","5773.00"
"Precipitable water [mm] for entire sounding","55.86"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150109/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.54"
"Lifted index","-2.00"
"LIFT computed using virtual temperature","-2.33"
"SWEAT index","195.61"
"K index","32.00"
"Cross totals index","18.80"
"Vertical totals index","23.70"
"Totals totals index","42.50"
"Convective Available Potential Energy","386.25"
"CAPE using virtual temperature","478.50"
"Convective Inhibition","-46.79"
"CINS using virtual temperature","-21.81"
"Equilibrum Level","209.88"
"Equilibrum Level using virtual temperature","209.89"
"Level of Free Convection","778.82"
"LFCT using virtual temperature","827.94"
"Bulk Richardson Number","26.15"
"Bulk Richardson Number using CAPV","32.40"
"Temp [K] of the Lifted Condensation Level","293.01"
"Pres [hPa] of the Lifted Condensation Level","912.56"
"Mean mixed layer potential temperature","300.78"
"Mean mixed layer mixing ratio","16.29"
"1000 hPa to 500 hPa thickness","5784.00"
"Precipitable water [mm] for entire sounding","52.46"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150110/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.50"
"Lifted index","-1.00"
"LIFT computed using virtual temperature","-1.10"
"SWEAT index","223.21"
"K index","38.20"
"Cross totals index","21.80"
"Vertical totals index","22.10"
"Totals totals index","43.90"
"Convective Available Potential Energy","211.71"
"CAPE using virtual temperature","247.34"
"Convective Inhibition","-12.58"
"CINS using virtual temperature","-10.67"
"Equilibrum Level","345.38"
"Equilibrum Level using virtual temperature","340.98"
"Level of Free Convection","862.87"
"LFCT using virtual temperature","869.39"
"Bulk Richardson Number","10.31"
"Bulk Richardson Number using CAPV","12.04"
"Temp [K] of the Lifted Condensation Level","294.11"
"Pres [hPa] of the Lifted Condensation Level","960.95"
"Mean mixed layer potential temperature","297.48"
"Mean mixed layer mixing ratio","16.55"
"1000 hPa to 500 hPa thickness","5760.00"
"Precipitable water [mm] for entire sounding","61.15"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150110/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.96"
"Lifted index","-0.15"
"LIFT computed using virtual temperature","-0.29"
"SWEAT index","217.01"
"K index","31.60"
"Cross totals index","18.40"
"Vertical totals index","23.10"
"Totals totals index","41.50"
"Convective Available Potential Energy","23.37"
"CAPE using virtual temperature","36.53"
"Convective Inhibition","-141.23"
"CINS using virtual temperature","-58.00"
"Equilibrum Level","426.88"
"Equilibrum Level using virtual temperature","438.74"
"Level of Free Convection","604.20"
"LFCT using virtual temperature","762.49"
"Bulk Richardson Number","0.57"
"Bulk Richardson Number using CAPV","0.89"
"Temp [K] of the Lifted Condensation Level","293.18"
"Pres [hPa] of the Lifted Condensation Level","937.39"
"Mean mixed layer potential temperature","298.67"
"Mean mixed layer mixing ratio","16.02"
"1000 hPa to 500 hPa thickness","5784.00"
"Precipitable water [mm] for entire sounding","55.93"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150111/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.68"
"Lifted index","-0.20"
"LIFT computed using virtual temperature","-0.29"
"SWEAT index","226.80"
"K index","33.00"
"Cross totals index","21.40"
"Vertical totals index","24.10"
"Totals totals index","45.50"
"Convective Available Potential Energy","3.33"
"CAPE using virtual temperature","6.06"
"Convective Inhibition","-251.73"
"CINS using virtual temperature","-199.37"
"Equilibrum Level","462.23"
"Equilibrum Level using virtual temperature","459.89"
"Level of Free Convection","517.68"
"LFCT using virtual temperature","526.08"
"Bulk Richardson Number","0.09"
"Bulk Richardson Number using CAPV","0.17"
"Temp [K] of the Lifted Condensation Level","292.50"
"Pres [hPa] of the Lifted Condensation Level","944.80"
"Mean mixed layer potential temperature","297.30"
"Mean mixed layer mixing ratio","15.21"
"1000 hPa to 500 hPa thickness","5768.00"
"Precipitable water [mm] for entire sounding","52.25"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150111/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.16"
"Lifted index","-3.40"
"LIFT computed using virtual temperature","-3.68"
"SWEAT index","223.61"
"K index","36.00"
"Cross totals index","21.70"
"Vertical totals index","23.90"
"Totals totals index","45.60"
"Convective Available Potential Energy","1138.75"
"CAPE using virtual temperature","1239.79"
"Convective Inhibition","-7.37"
"CINS using virtual temperature","-4.80"
"Equilibrum Level","139.78"
"Equilibrum Level using virtual temperature","139.10"
"Level of Free Convection","849.89"
"LFCT using virtual temperature","901.78"
"Bulk Richardson Number","69.99"
"Bulk Richardson Number using CAPV","76.20"
"Temp [K] of the Lifted Condensation Level","295.11"
"Pres [hPa] of the Lifted Condensation Level","951.10"
"Mean mixed layer potential temperature","299.39"
"Mean mixed layer mixing ratio","17.82"
"1000 hPa to 500 hPa thickness","5786.00"
"Precipitable water [mm] for entire sounding","61.48"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150112/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.49"
"Lifted index","-0.09"
"LIFT computed using virtual temperature","-0.28"
"SWEAT index","209.22"
"K index","35.30"
"Cross totals index","20.00"
"Vertical totals index","23.90"
"Totals totals index","43.90"
"Convective Available Potential Energy","2.14"
"CAPE using virtual temperature","14.11"
"Convective Inhibition","-153.11"
"CINS using virtual temperature","-122.97"
"Equilibrum Level","492.52"
"Equilibrum Level using virtual temperature","482.86"
"Level of Free Convection","561.46"
"LFCT using virtual temperature","551.70"
"Bulk Richardson Number","0.11"
"Bulk Richardson Number using CAPV","0.73"
"Temp [K] of the Lifted Condensation Level","291.70"
"Pres [hPa] of the Lifted Condensation Level","916.61"
"Mean mixed layer potential temperature","299.07"
"Mean mixed layer mixing ratio","14.91"
"1000 hPa to 500 hPa thickness","5770.00"
"Precipitable water [mm] for entire sounding","54.45"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150112/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.14"
"Lifted index","-2.47"
"LIFT computed using virtual temperature","-2.86"
"SWEAT index","223.40"
"K index","38.10"
"Cross totals index","20.50"
"Vertical totals index","22.70"
"Totals totals index","43.20"
"Convective Available Potential Energy","1519.54"
"CAPE using virtual temperature","1625.54"
"Convective Inhibition","-19.95"
"CINS using virtual temperature","-9.82"
"Equilibrum Level","140.88"
"Equilibrum Level using virtual temperature","140.71"
"Level of Free Convection","851.83"
"LFCT using virtual temperature","871.24"
"Bulk Richardson Number","45.02"
"Bulk Richardson Number using CAPV","48.16"
"Temp [K] of the Lifted Condensation Level","294.10"
"Pres [hPa] of the Lifted Condensation Level","912.61"
"Mean mixed layer potential temperature","301.90"
"Mean mixed layer mixing ratio","17.47"
"1000 hPa to 500 hPa thickness","5864.00"
"Precipitable water [mm] for entire sounding","61.92"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150113/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.78"
"Lifted index","-1.22"
"LIFT computed using virtual temperature","-1.69"
"SWEAT index","197.40"
"K index","35.10"
"Cross totals index","19.40"
"Vertical totals index","24.30"
"Totals totals index","43.70"
"Convective Available Potential Energy","258.94"
"CAPE using virtual temperature","343.18"
"Convective Inhibition","-118.58"
"CINS using virtual temperature","-92.30"
"Equilibrum Level","258.56"
"Equilibrum Level using virtual temperature","257.16"
"Level of Free Convection","699.05"
"LFCT using virtual temperature","725.88"
"Bulk Richardson Number","21.33"
"Bulk Richardson Number using CAPV","28.27"
"Temp [K] of the Lifted Condensation Level","292.67"
"Pres [hPa] of the Lifted Condensation Level","919.84"
"Mean mixed layer potential temperature","299.76"
"Mean mixed layer mixing ratio","15.81"
"1000 hPa to 500 hPa thickness","5771.00"
"Precipitable water [mm] for entire sounding","52.79"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150113/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.74"
"Lifted index","-2.72"
"LIFT computed using virtual temperature","-3.18"
"SWEAT index","223.40"
"K index","35.70"
"Cross totals index","21.10"
"Vertical totals index","23.30"
"Totals totals index","44.40"
"Convective Available Potential Energy","1088.90"
"CAPE using virtual temperature","1222.06"
"Convective Inhibition","-29.72"
"CINS using virtual temperature","-20.30"
"Equilibrum Level","146.22"
"Equilibrum Level using virtual temperature","146.20"
"Level of Free Convection","819.70"
"LFCT using virtual temperature","857.52"
"Bulk Richardson Number","25.80"
"Bulk Richardson Number using CAPV","28.96"
"Temp [K] of the Lifted Condensation Level","294.02"
"Pres [hPa] of the Lifted Condensation Level","916.60"
"Mean mixed layer potential temperature","301.44"
"Mean mixed layer mixing ratio","17.29"
"1000 hPa to 500 hPa thickness","5796.00"
"Precipitable water [mm] for entire sounding","57.42"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150114/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","2.26"
"Lifted index","-0.85"
"LIFT computed using virtual temperature","-1.10"
"SWEAT index","174.81"
"K index","32.60"
"Cross totals index","17.90"
"Vertical totals index","23.90"
"Totals totals index","41.80"
"Convective Available Potential Energy","95.06"
"CAPE using virtual temperature","145.32"
"Convective Inhibition","-141.03"
"CINS using virtual temperature","-104.63"
"Equilibrum Level","318.78"
"Equilibrum Level using virtual temperature","315.11"
"Level of Free Convection","651.78"
"LFCT using virtual temperature","680.84"
"Bulk Richardson Number","11.88"
