"info","pres","hght","temp","dwpt","relh","mixr","drct","sknt","thta","thte","thtv"
"97072 WAML Palu Observations at 00Z 01 Feb 2015",1004,6,23.6,21.5,88,16.37,90,3,296.4,343.8,299.3
"97072 WAML Palu Observations at 00Z 01 Feb 2015",1002,62,24.8,18.8,69,13.82,97,4,297.8,338.1,300.2
"97072 WAML Palu Observations at 00Z 01 Feb 2015",1000,119,24.6,18.6,69,13.67,105,4,297.8,337.6,300.2
"97072 WAML Palu Observations at 00Z 01 Feb 2015",980,297,24,19.5,76,14.74,170,8,298.9,342.1,301.5
"97072 WAML Palu Observations at 00Z 01 Feb 2015",979,306,24,19.5,76,14.8,170,8,299,342.3,301.6
"97072 WAML Palu Observations at 00Z 01 Feb 2015",947,596,22.7,18.3,76,14.15,155,8,300.5,342.2,303.1
"97072 WAML Palu Observations at 00Z 01 Feb 2015",925,802,21.8,17.4,76,13.7,160,10,301.6,342.2,304.1
"97072 WAML Palu Observations at 00Z 01 Feb 2015",915,896,21.4,16.8,75,13.29,165,12,302.1,341.6,304.5
"97072 WAML Palu Observations at 00Z 01 Feb 2015",883,1203,19.9,14.7,72,12.01,180,12,303.7,339.7,305.9
"97072 WAML Palu Observations at 00Z 01 Feb 2015",850,1532,18.4,12.4,68,10.75,165,8,305.4,337.9,307.4
"97072 WAML Palu Observations at 00Z 01 Feb 2015",846,1572,18,13.3,74,11.47,161,7,305.4,340,307.5
"97072 WAML Palu Observations at 00Z 01 Feb 2015",824,1795,16.6,11.9,74,10.71,140,2,306.2,338.7,308.2
"97072 WAML Palu Observations at 00Z 01 Feb 2015",795,2098,14.7,9.9,73,9.73,75,4,307.4,337.1,309.2
"97072 WAML Palu Observations at 00Z 01 Feb 2015",767,2401,12.9,8,72,8.83,105,2,308.5,335.7,310.2
"97072 WAML Palu Observations at 00Z 01 Feb 2015",741,2693,11.1,6.1,71,8.02,70,4,309.6,334.5,311.1
"97072 WAML Palu Observations at 00Z 01 Feb 2015",729,2831,10.2,5.2,71,7.66,80,5,310.1,334,311.6
"97072 WAML Palu Observations at 00Z 01 Feb 2015",725,2877,10.4,-0.6,46,5.08,83,5,310.8,327,311.8
"97072 WAML Palu Observations at 00Z 01 Feb 2015",715,2992,9.6,4.6,71,7.49,92,5,311.2,334.6,312.6
"97072 WAML Palu Observations at 00Z 01 Feb 2015",706,3097,9.6,-0.4,50,5.29,100,6,312.3,329.2,313.3
"97072 WAML Palu Observations at 00Z 01 Feb 2015",700,3168,9.2,1.2,57,6,105,6,312.6,331.7,313.8
"97072 WAML Palu Observations at 00Z 01 Feb 2015",692,3263,8.6,2.6,66,6.71,112,6,313,334.2,314.3
"97072 WAML Palu Observations at 00Z 01 Feb 2015",689,3299,8.5,1.9,63,6.4,115,6,313.3,333.6,314.5
"97072 WAML Palu Observations at 00Z 01 Feb 2015",683,3372,8.4,0.4,57,5.8,113,6,313.9,332.5,315.1
"97072 WAML Palu Observations at 00Z 01 Feb 2015",647,3817,4.8,2.2,83,6.98,101,5,314.8,337,316.1
"97072 WAML Palu Observations at 00Z 01 Feb 2015",636,3958,5.6,-8.4,36,3.21,97,5,317.2,327.9,317.8
"97072 WAML Palu Observations at 00Z 01 Feb 2015",617,4205,4.1,-13.2,27,2.24,90,4,318.3,325.9,318.7
"97072 WAML Palu Observations at 00Z 01 Feb 2015",608,4324,3.4,-15.6,23,1.88,86,5,318.8,325.3,319.2
"97072 WAML Palu Observations at 00Z 01 Feb 2015",584,4650,0.6,-10.4,44,2.98,75,8,319.2,329.3,319.8
"97072 WAML Palu Observations at 00Z 01 Feb 2015",575,4774,0,-13,37,2.46,71,10,319.9,328.3,320.4
"97072 WAML Palu Observations at 00Z 01 Feb 2015",573,4802,-0.2,-13.3,36,2.4,70,10,320,328.2,320.5
"97072 WAML Palu Observations at 00Z 01 Feb 2015",526,5482,-4.7,-21.7,25,1.29,73,18,322.5,327.1,322.8
"97072 WAML Palu Observations at 00Z 01 Feb 2015",514,5663,-5.5,-11.5,63,3.1,74,20,323.7,334.3,324.3
"97072 WAML Palu Observations at 00Z 01 Feb 2015",509,5740,-5.5,-12.5,58,2.89,74,21,324.6,334.6,325.2
